"word","corrAnsw","trial_type","cues","slider_mood.response","slider_arousal.response","key_resp_ongoing.corr","key_resp_PM.keys","key_resp_PM.corr","key_resp_recognition.corr","participant","session"
"writer","h","PM cue","",NA,NA,NA,"['h']",1,NA,100,1
"snake","d","HIT","",NA,NA,NA,"['d']",1,NA,100,1
"opinion","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"advantage","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"garden","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"advantage","d","HIT","",NA,NA,NA,"['d']",1,NA,100,1
"dream","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"industry","l","No ","",NA,NA,NA,"['d']",0,NA,100,1
"dream","d","HIT","",NA,NA,NA,"['d']",1,NA,100,1
"yellow","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"avenue","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"yellow","d","HIT","",NA,NA,NA,"['d']",1,NA,100,1
"bottle","h","PM cue","",NA,NA,NA,"['h']",1,NA,100,1
"square","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"market","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"square","d","HIT","",NA,NA,NA,"['l']",0,NA,100,1
"adult","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"unit","l","No","",NA,NA,NA,"['l']",1,NA,100,1
"adult","d","HIT","",NA,NA,NA,"['d']",1,NA,100,1
"famous","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"clouds","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"famous","d","HIT","",NA,NA,NA,"['d']",1,NA,100,1
"natural","l","No","",NA,NA,NA,"['l']",1,NA,100,1
"safe","l","No","",NA,NA,NA,"['l']",1,NA,100,1
"natural","d","HIT","",NA,NA,NA,"['d']",1,NA,100,1
"event","h","PM cue","",NA,NA,NA,"['h']",1,NA,100,1
"medicine","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"garden","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"medicine","d","HIT","",NA,NA,NA,"['d']",1,NA,100,1
"doctor","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"letter","l","No ","",NA,NA,NA,"['h']",0,NA,100,1
"doctor","d","HIT","",NA,NA,NA,"['l']",0,NA,100,1
"phase","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"safe","l","No","",NA,NA,NA,"['l']",1,NA,100,1
"phase","d","HIT","",NA,NA,NA,"['d']",1,NA,100,1
"brother","l","No","",NA,NA,NA,"['l']",1,NA,100,1
"taste","l","No","",NA,NA,NA,"['l']",1,NA,100,1
"brother","d","HIT","",NA,NA,NA,"['d']",1,NA,100,1
"adult","l","No","",30,49,NA,"",NA,1,100,1
"writer","d","HIT","",NA,NA,NA,"",NA,1,100,1
"bottle","d","HIT","",NA,NA,NA,"",NA,1,100,1
"event","d","HIT","",NA,NA,NA,"",NA,1,100,1
"medicine","l","No","",NA,NA,NA,"",NA,1,100,1
"garden","l","No","",NA,NA,NA,"",NA,1,100,1
"","","","",29,52,NA,"",NA,NA,NA,NA
